GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.oneIndonesia.demo,DemoApplication,5,3,0,0,2,1,1,1,1,1
demo,com.oneIndonesia.demo.model,Role,168,3,30,0,6,1,27,1,12,1
demo,com.oneIndonesia.demo.model,Category.CategoryBuilder,36,0,0,0,1,0,6,0,6,0
demo,com.oneIndonesia.demo.model,Applicants,641,3,118,0,17,1,93,1,34,1
demo,com.oneIndonesia.demo.model,Category,168,3,30,0,6,1,27,1,12,1
demo,com.oneIndonesia.demo.model,Postingan.PostinganBuilder,25,65,0,0,0,1,2,10,2,10
demo,com.oneIndonesia.demo.model,Role.RoleBuilder,36,0,0,0,1,0,6,0,6,0
demo,com.oneIndonesia.demo.model,User.UserBuilder,48,33,0,0,0,1,7,4,7,4
demo,com.oneIndonesia.demo.model,Applicants.ApplicantsBuilder,135,0,0,0,1,0,17,0,17,0
demo,com.oneIndonesia.demo.model,User,365,42,70,0,15,4,59,5,24,5
demo,com.oneIndonesia.demo.model,Postingan,392,37,78,0,10,3,61,3,22,3
demo,com.oneIndonesia.demo.controller,FeatureController,52,26,0,0,11,6,8,5,8,5
demo,com.oneIndonesia.demo.controller,UserManagementController,10,7,0,0,2,2,2,2,2,2
demo,com.oneIndonesia.demo.congfig,SecurityConfig,0,45,0,0,0,13,0,4,0,4
demo,com.oneIndonesia.demo.congfig,config,0,11,0,0,0,3,0,3,0,3
demo,com.oneIndonesia.demo.service,UserManagementService,247,7,24,0,51,2,17,2,5,2
demo,com.oneIndonesia.demo.service,FeatureService,1177,7,94,0,263,2,60,2,13,2
demo,com.oneIndonesia.demo.dto,DetailApplicantResponse.DetailApplicantResponseBuilder,153,0,0,0,1,0,19,0,19,0
demo,com.oneIndonesia.demo.dto,ApplicantsJob,254,3,46,0,8,1,39,1,16,1
demo,com.oneIndonesia.demo.dto,GetUserListResponse,197,0,22,0,9,0,28,0,17,0
demo,com.oneIndonesia.demo.dto,SaveOrUpdatePostinganRequest.SaveOrUpdatePostinganRequestBuilder,14,49,0,0,0,1,1,8,1,8
demo,com.oneIndonesia.demo.dto,BaseResponse.BaseResponseBuilder,36,0,0,0,1,0,6,0,6,0
demo,com.oneIndonesia.demo.dto,BaseRequestDto.BaseRequestDtoBuilder,45,0,0,0,1,0,7,0,7,0
demo,com.oneIndonesia.demo.dto,DetailApplicantResponse,730,0,134,0,20,0,106,0,39,0
demo,com.oneIndonesia.demo.dto,SaveOrUpdateCategoryRequest.SaveOrUpdateCategoryRequestBuilder,6,21,0,0,0,1,1,4,1,4
demo,com.oneIndonesia.demo.dto,SaveOrUpdatePostinganRequest,264,36,54,0,6,4,41,5,14,5
demo,com.oneIndonesia.demo.dto,BaseRequestDto,246,0,34,0,9,0,35,0,18,0
demo,com.oneIndonesia.demo.dto,SaveOrUpdateRoleRequest,92,36,22,0,0,6,14,8,3,8
demo,com.oneIndonesia.demo.dto,JobRequest,128,0,22,0,6,0,22,0,11,0
demo,com.oneIndonesia.demo.dto,GetPostinganListRequest.GetPostinganListRequestBuilder,79,0,0,0,1,0,11,0,11,0
demo,com.oneIndonesia.demo.dto,GetListApplicantRequest,469,0,78,0,13,0,65,0,26,0
demo,com.oneIndonesia.demo.dto,GetUserListDto,343,0,62,0,11,0,52,0,21,0
demo,com.oneIndonesia.demo.dto,GetListApplicantListResponse,197,0,22,0,9,0,28,0,17,0
demo,com.oneIndonesia.demo.dto,GetDetailPostinganResponse.GetDetailPostinganResponseBuilder,77,0,0,0,1,0,11,0,11,0
demo,com.oneIndonesia.demo.dto,GetAplicantListDto,429,0,78,0,13,0,64,0,25,0
demo,com.oneIndonesia.demo.dto,GetUserListRequest.GetUserListRequestBuilderImpl,7,0,0,0,1,0,2,0,2,0
demo,com.oneIndonesia.demo.dto,GetUserListRequest,375,0,62,0,11,0,53,0,22,0
demo,com.oneIndonesia.demo.dto,AddUserRequest,300,0,54,0,10,0,46,0,19,0
demo,com.oneIndonesia.demo.dto,GetListPostinganResponse.GetListPostinganResponseBuilder,54,0,0,0,1,0,8,0,8,0
demo,com.oneIndonesia.demo.dto,JobRequest.JobRequestBuilder,27,0,0,0,1,0,5,0,5,0
demo,com.oneIndonesia.demo.dto,GetUserListRequest.GetUserListRequestBuilder,63,0,0,0,1,0,9,0,9,0
demo,com.oneIndonesia.demo.dto,GetListApplicantListResponse.GetListApplicantListResponseBuilder,54,0,0,0,1,0,8,0,8,0
demo,com.oneIndonesia.demo.dto,GetPostinganListRequest.GetPostinganListRequestBuilderImpl,7,0,0,0,1,0,2,0,2,0
demo,com.oneIndonesia.demo.dto,GetUserListResponse.GetUserListResponseBuilder,54,0,0,0,1,0,8,0,8,0
demo,com.oneIndonesia.demo.dto,GetDetailPostinganResponse,468,0,78,0,13,0,65,0,26,0
demo,com.oneIndonesia.demo.dto,GetAplicantListDto.GetAplicantListDtoBuilder,90,0,0,0,1,0,12,0,12,0
demo,com.oneIndonesia.demo.dto,ApplicantsJob.ApplicantsJobBuilder,54,0,0,0,1,0,8,0,8,0
demo,com.oneIndonesia.demo.dto,GetDetailPostinganResponse.GetDetailPostinganResponseBuilderImpl,7,0,0,0,1,0,2,0,2,0
demo,com.oneIndonesia.demo.dto,GetPostinganListRequest,469,0,78,0,13,0,65,0,26,0
demo,com.oneIndonesia.demo.dto,SaveOrUpdateRoleRequest.SaveOrUpdateRoleRequestBuilder,6,21,0,0,0,1,1,4,1,4
demo,com.oneIndonesia.demo.dto,SaveOrUpdateCategoryRequest,115,13,22,0,4,2,20,2,9,2
demo,com.oneIndonesia.demo.dto,GetUserListDto.GetUserListDtoBuilder,72,0,0,0,1,0,10,0,10,0
demo,com.oneIndonesia.demo.dto,GetListApplicantRequest.GetListApplicantRequestBuilderImpl,7,0,0,0,1,0,2,0,2,0
demo,com.oneIndonesia.demo.dto,GetListPostinganResponse,197,0,22,0,9,0,28,0,17,0
demo,com.oneIndonesia.demo.dto,GetListApplicantRequest.GetListApplicantRequestBuilder,79,0,0,0,1,0,11,0,11,0
demo,com.oneIndonesia.demo.dto,BaseRequestDto.BaseRequestDtoBuilderImpl,7,0,0,0,1,0,2,0,2,0
demo,com.oneIndonesia.demo.dto,AddUserRequest.AddUserRequestBuilder,63,0,0,0,1,0,9,0,9,0
demo,com.oneIndonesia.demo.dto,BaseResponse,134,37,29,1,1,6,21,7,6,7
demo,com.oneIndonesia.demo.util,ClaimHelper,3,7,0,0,2,2,1,1,1,1
